0_Descoberto(id0),1_Torto / Santa Maria(id1),0_Corumba IV(id2),0_Lago Paranoa(id3)
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.998999,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.998999,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.998999,1,1,1
0.998999,1,1,1
1,1,1,1
0.996997,1,1,1
1,0.998999,1,1
0.997998,1,1,1
0.998999,1,1,1
0.995996,0.998999,1,1
1,0.998999,1,1
0.996997,0.998999,1,1
0.997998,0.996997,1,1
0.996997,0.998999,1,1
0.995996,0.998999,1,1
0.995996,0.997998,1,1
0.998999,1,1,1
0.998999,0.998999,1,1
0.992993,0.996997,1,1
0.994995,0.997998,1,1
0.994995,1,1,1
0.993994,0.998999,1,1
0.991992,0.996997,1,1
0.996997,0.995996,1,1
0.994995,0.996997,1,1
0.992993,0.997998,1,1
